,tag,type,author,doi,journal,pages,title,volume,year,publisher,url,institution,number,mendeley-tags,booktitle,edition,month,address,editor,arc-citations,arc-source
5765,Huberman1983,article,"Huberman, Gur and Mayers, David and Smith, Clifford W.",10.2307/3003643,The Bell Journal of Economics,415,{Optimal Insurance Policy Indemnity Schedules},14,1983,,,,2,,,,,,,0,mendeley
5766,Diamond1991,article,"Diamond, Douglas W.  and Verrecchia, Robert E.",10.1111/j.1540-6261.1991.tb04620.x,The Journal of Finance,1325--1359,"{Disclosure, Liquidity, and the Cost of Capital}",46,1991,,,,4,CMM,,,,,,5000,mendeley
5767,Grace2012a,article,"Grace, M. F. and Leverty+, J. T.",,,319--335,{External Monitor Quality and Managerial Discretion},,2012,,http://www.aria.org/rts/proceedings/2013/External Monitor Quality and Managerial Discretion.pdf,,,,,,,,,0,mendeley
5768,Bourbaki1981,book,"Bourbaki, Nicolas",,,,"{Topological vector spaces, chapters 1-5}",,1981,Springer Verlag,,,,,,,,,,0,mendeley
5769,Boyer2013,article,"Boyer, M. Martin and Nyce, Charles M.",10.1080/10920277.2013.839377,North American Actuarial Journal,283--296,{An Industrial Organization Theory of Risk Sharing},17,2013,,http://www.tandfonline.com/doi/abs/10.1080/10920277.2013.839377,,4,,,,oct,,,0,mendeley
5770,Woolf2013,book,"Woolf, S. H. and Aron, Laudan",,,,"{US health in international perspective: Shorter lives, poorer health}",,2013,,"http://books.google.com/books?hl=en&lr=&id=IUFeAgAAQBAJ&oi=fnd&pg=PA1&dq=US+Health+in+International+Perspective:+Shorter+Lives+,+Poorer+Health&ots=DLswJpk5b1&sig=FGVLvk0mFFloI3-pkjy9jdBxOuw",,,,,,,,,0,mendeley
5771,AMBest2013b,article,{A. M. Best},,,,{Understanding BCAR for Life / Health Insurers},,2013,,,,,,,,,,,0,mendeley
5772,McKinney2018,book,"McKinney, Wes",10.1017/CBO9781107415324.004,,,{Python for Data Analysis 2ed},,2018,O'Reilly,http://ebooks.cambridge.org/ref/id/CBO9781107415324A009,,,,,Second,,,,0,mendeley
5773,Bertoin1994,article,"Bertoin, Jean and Doney, R. A.",,Statistics & Probability Letters,363--365,{Cramer's estimate for Levy processes},21,1994,,,,93,,,,,,,0,mendeley
5774,Jørgensen1983a,article,"Jørgensen, Bent",,Biometrics,19--28,{Maximum Likelihood Estimation and Large-Sample Inference for Generalized Linear and Nonlinear Regression Models},70,1983,,,,1,EDM-GLM,,,,,,0,mendeley
5775,Rashes2001,article,"Rashes, Michael S.",,,1911--1927,{Making Conspicuously Ignorant Choices ( MCI – MCIC )},LVI,2001,,,,5,,,,,,,0,mendeley
5776,IAA2017a,techreport,IAA,,,1--20,{Education Syllabus},,2017,,,,October,,,,,,,0,mendeley
5777,Moritz2012,article,"Moritz, M. A. and Parisien, M. A. and Batllori, E.",,Ecosphere,1--22,{Climate change and disruptions to global fire activity},3,2012,,http://www.esajournals.org/doi/pdf/10.1890/ES11-00345.1,,June,,,,,,,0,mendeley
5778,Delbaen1995,article,"Delbaen, Freddy and Schachermayer, Walter",10.1007/BF01192466,Probability Theory and Related Fields,357--366,{Arbitrage possibilities in Bessel processes and their relations to local martingales},102,1995,,,,3,"Delbaen,Stochastic Processes",,,,,,0,mendeley
5779,Lustig2005a,article,"Lustig, Hanno N. and {Van Nieuwerburgh}, Stijn G.",10.1111/j.1540-6261.2005.00759.x,Journal of Finance,1167--1219,"{Housing collateral, consumption insurance, and risk premia: An empirical perspective}",60,2005,,,,3,,,,,,,0,mendeley
5780,Driver2018,misc,"Driver, Bruce K.",,,,{Surface Integrals},,2018,,,,,,,,,,,0,mendeley
5781,Tebaldi2016,article,"Tebaldi, Pietro",,,1--62,{Estimating Equilibrium in Health Insurance Exchanges : Price Competition and Subsidy Design under the ACA},,2016,,,,,,,,,,,0,mendeley
5782,Lemburg2005,misc,"Lemburg, Marc-Andre",,,,{Developing Unicode-aware Applications in Python},,2005,,,,,,,,,,,0,mendeley
5783,delaPena2016,inproceedings,"de la Peña, Victor H.",,,,{A new perspective on back-testing of value at risk models},,2016,,,,,,"IRFRC, Singapore",,,,,0,mendeley
5784,Gigerenzer1999,article,"Gigerenzer, Gerd and Todd, Peter M.",,Oxford University Press,,{Simple Heuristics That Make Us Smart},,1999,,,,,,,,,,,0,mendeley
5785,Prudnikov1992,book,"Prudnikov, A. P. and Brychkov, Yu A. and Marichev, O. I.",10.1119/1.15375,,595,{Integrals and Series. Volume 5: Inverse laplace transforms},,1992,Gordon and Breach Science Publishers,,,,Book,,,,New York,,0,mendeley
5786,Protter2001,article,"Protter, Philip",10.1016/S0304-4149(00)00064-8,Stochastic Processes and their Applications,169--203,{A partial introduction to financial asset pricing theory},91,2001,,,,2,Stochastic Processes,,,,,,0,mendeley
5787,FinancialCrisisInquiryCommission2011,book,{Financial Crisis Inquiry Commission},10.1057/9781137311054,,576,{The Financial Crisis Inquiry Report: Final Report of the National Commission ...},,2011,,http://books.google.com/books?id=sSVhzwQ_gUgC&pgis=1,,,,,,,,,0,mendeley
5788,Major2002a,incollection,"Major, John A. and Kreps, Rodney E.",,,201--222,{Catastrophe risk pricing in the traditional market},,2002,Risk Books,,,,"Kreps,Major",Alternative Risk Strategies,,,,"Lane, Morton N.",0,mendeley
5789,Paddock1980,book,"Paddock, James and Copeland, Thomas E. and Weston, J. Fred",10.2307/2327506,,812,{Financial Theory and Corporate Policy.},35,1980,,,,3,,The Journal of Finance,,,,,0,mendeley
5790,Buiter2014,article,"Buiter, Willem H.",10.5018/economics-ejournal.ja.2014-28,Economics,1--46,{The simple analytics of helicopter money: Why it works - Always},8,2014,,,,1,,,,,,,0,mendeley
5791,Torquato2018a,article,"Torquato, Salvatore and Zhang, G. and {De Courcy-Ireland}, M.",10.1088/1742-5468/aad6be,Journal of Statistical Mechanics: Theory and Experiment,,{Uncovering multiscale order in the prime numbers via scattering},2018,2018,,http://arxiv.org/abs/1802.10498,,9,,,,,,,0,mendeley
5792,Arntz2016,article,"Arntz, Melanie and Gregory, Terry and Zierahn, Ulrich",,"OECD Social, Employment and Migration Working Papers",,{The Risk of Automation for Jobs in OECD Countries: A Comparative Analysis},,2016,,,,189,,,,,,,0,mendeley
5793,Amini2009,article,"Amini, Arash a and Wainwright, Martin J.",10.1214/08-AOS664,The Annals of Statistics,2877--2921,{High-dimensional analysis of semidefinite relaxations for sparse principal components},37,2009,,http://projecteuclid.org/euclid.aos/1247836672,,5B,,,,oct,,,0,mendeley
5794,McElreath2020,incollection,"McElreath, Richard",10.16309/j.cnki.issn.1007-1776.2003.03.004,,6--8,{Statistical Rethinking},,2020,,,,1,,Statistical Rethinking,Second,,,,0,mendeley
5795,BartletYYYY,article,"Bartlett, Peter",,,,{Theoretical Statistics. Lecture 4},,,,,,,Tails,,,,,,0,mendeley
5796,Ruffle2014,article,"Ruffle, Simon and Bowman, Gary and Coburn, Andrew",,Cambridge Center for Risk Studies,,{Stress Test Scenario SYBIL LOGIC BOMB CYBER CATASTROPHE},,2014,,,,,,,,,,,0,mendeley
5797,TorrentGironella2011,article,"Torrent-Gironella, G. and Fortiana, Josep",,ASTIN Colloquia (Madrid),,{Simulation of High-Dimensional t-Student Copulas with a Given Block Correlation Matrix},,2011,,http://www.actuaries.org/ASTIN/Colloquia/Madrid/Papers/Torrent_Fortiana.pdf,,,,,,,,,0,mendeley
5798,Angelsberg2011,article,"Angelsberg, Gilles and Delbaen, Freddy and Kaelin, Ivo and Kupper, Michael and Näf, Joachim",10.1007/s00780-010-0145-5,Finance and Stochastics,343--363,{On a class of law invariant convex risk measures},15,2011,,,,2,Delbaen,,,,,,0,mendeley
5799,Han2022,article,"Han, Xiaoying and Lin, Liyuan and Wang, Ruodu",10.2139/ssrn.4149069,SSRN Electronic Journal,,{Diversification Quotients: Quantifying Diversification via Risk Measures},,2022,,,,,WangR,,,,,,0,mendeley
5800,Muller2000,article,"Müller, Alfred and Scarsini, Marco",10.1006/jmva.1999.1867,Journal of Multivariate Analysis,107--119,{Some Remarks on the Supermodular Order},73,2000,,,,1,,,,,,,0,mendeley
5801,Lin2018,article,"Lin, Xiao (Joyce)",10.2139/ssrn.3126862,Ssrn,,{Risk Awareness and Adverse Selection in Catastrophe Insurance: Evidence from California's Residential Earthquake Insurance Market},,2018,,,,,,,,,,,0,mendeley
5802,Acerbi2007,article,"Acerbi, Carlo",10.1080/14697680701461590,Quantitative Finance,359--364,{Coherent measures of risk in everyday market practice},7,2007,,,,4,,,,,,,0,mendeley
5803,Harremoes2001,article,"Harremoës, Peter",,IEEE Transactions on Information Theory,2039--2041,{Binomial and Poisson Distributions as Maximum Entropy Distributions},47,2001,,http://yaroslavvb.com/papers/harremoes-binomial.pdf,,5,,,,,,,0,mendeley
5804,AonBenfield2018a,techreport,{Aon Benfield},,,,"{Global Risk, Profitability, and Growth Metrics}",,2018,,,,,Aon,Insurance Risk Study,,,,,0,mendeley
5805,Wang2014a,article,"Wang, Y. and Zhao, Xuemin and Sun, Zhenlong and Yan, Hao and Wang, Liubin",,arXiv preprint arXiv: …,,{Towards Topic Modeling for Big Data},,2014,,http://arxiv.org/abs/1405.4402,,,,,,,,,0,mendeley
5806,AMBest2006,article,{A. M. Best},,,,{Comments on Enterprise Risk Management and Capital Models},,2006,,,,February,,,,,,,0,mendeley
5807,Conway1990,book,"Conway, John B.",10.1017/CBO9781107415324.004,,,{A Course in Functional Analysis},53,1990,Springer New York,,,9,,Springer,Second,,,,0,mendeley
5808,Accenture2014,article,Accenture,,,1--12,{Big Success With Big Data},,2014,,,,,,,,,,,0,mendeley
5809,Guriev2001,article,"Guriev, Sergei",10.1023/A:1014382530086,GENEVA Papers on Risk and Insurance Theory,117--137,{On Microfoundations of the Dual Theory of Choice},26,2001,,,,2,,,,,,,0,mendeley
5810,Frees2016,book,"Frees, Edward W. Jed and Derrig, Richard A. and Meyers, Glenn G.",10.1017/cbo9781139342681,,,"{Predictive Modeling Applications in Actuarial Science, volume II}",,2016,Cambridge University Press,,,,"Book,Meyers",,,,,,0,mendeley
5811,Gollier2019a,article,"Gollier, Christian",,,,{A general theory of risk apportionment},,2019,,,,April,"Gollier,Risk Measures",,,,,,0,mendeley
5812,Ghirardato2004a,article,"Ghirardato, Paolo and Maccheroni, Fabio and Marinacci, Massimo",10.1016/j.jet.2003.12.004,Journal of Economic Theory,133--173,{Differentiating ambiguity and ambiguity attitude},118,2004,,,,2,Marinacci,,,,,,0,mendeley
5813,BarLev1992b,article,"Bar-Lev, Shaul K. and Reiser, Benjamin",,Annals of the Institute of Statistical Mathematics,623--639,{Bayesian inference for the power law process},44,1992,,,,4,EDM-GLM,,,,,,0,mendeley
5814,Dietz2019,article,"Dietz, Simon and Walker, Oliver",10.1111/jori.12208,Journal of Risk and Insurance,213--235,{Ambiguity and Insurance: Capital Requirements and Premiums},86,2019,,,,1,,,,,,,0,mendeley
5815,Camb2015,techreport,Camb,,,,{Special Topics Seminar},,2015,,,,June,,,,,,,0,mendeley
5816,Strassen1974,article,"Strassen, Volker",10.1137/0203010,SIAM Journal on Computing,128--149,{Polynomials with Rational Coefficients Which are Hard to Compute},3,1974,,,,2,,,,,,,0,mendeley
5817,Stone1973a,article,"Stone, James M.",10.2307/252115,The Journal of Risk and Insurance,339--355,{A Theory of Capacity and the Insurance of Catastrophe Risks (Part II)},40,1973,,http://www.jstor.org/stable/252115?origin=crossref,,3,,,,,,,0,mendeley
5818,Buffet2014,techreport,"Buffet, Warren",,,,{Berkshire Hathaway 2013 AR},,2014,,,,,,,,,,,0,mendeley
5819,Golden2013,book,"Golden, Bernard",,,,{Amazon Web Services for Dummies},,2013,"John Wiley & Sons, Inc.",,,,Book,,,,,,0,mendeley
5820,Klibanoff2011,article,"Klibanoff, Peter and Marinacci, Massimo and Mukerji, Sujoy",10.1007/s00199-011-0641-7,Economic Theory,399--424,{Definitions of ambiguous events and the smooth ambiguity model},48,2011,,,,2,Marinacci,,,,,,0,mendeley
5821,Miles2018,techreport,"Miles, Justin",,,1--22,{The Laplace transform of the lognormal distribution},,2018,,,,,,,,,,,0,mendeley
5822,Jin2014,article,"Jin, Tao and Ren, Jiandong",10.1080/03461238.2012.762548,Scandinavian Actuarial Journal,729--752,{Recursions and fast Fourier transforms for a new bivariate aggregate claims model},8,2014,,,,,FFT,,,,,,0,mendeley
5823,Peters2018b,article,"Peters, Ole and Adamou, Alexander",,,1--8,{The time interpretation of expected utility theory},,2018,,http://arxiv.org/abs/1801.03680,,,Peters,,,,,,0,mendeley
5824,Tirole2011,article,"Tirole, Jean",,Journal of Economic Literature,,{Illiquidity and all its friends},,2011,,http://www.ingentaconnect.com/content/aea/jel/2011/00000049/00000002/art00001,,,,,,,,,0,mendeley
5825,Chetty2016,article,"Chetty, Raj and Stepner, Michael and Abraham, Sarah and Lin, Shelby and Scuderi, Benjamin and Turner, Nicholas and Bergeron, Augustin and Cutler, David",10.1001/jama.2016.4226.The,Journal of the American Medical Association,1750--1766,"{The Association Between Income and Life Expectancy in the United States, 2001–2014}",315,2016,,,,16,,,,,,,0,mendeley
5826,Fritzsch2021,article,"Fritzsch, Simon and Scharner, Philipp and Weiß, Gregor",10.1111/jori.12346,Journal of Risk and Insurance,529--567,{Estimating the relation between digitalization and the market value of insurers},88,2021,,,,3,JRI2021,,,,,,0,mendeley
5827,Scordis2025,article,"Scordis, Nicos A.",10.1007/s10551-025-05966-2,Journal of Business Ethics,,{Transparency in Place of Fair Insurance Pricing},,2025,,,,2015,,,,,,,0,mendeley
5828,Chi2011,article,"Chi, Yichun and Tan, Ken Seng",10.2143/AST.41.2.2136986,ASTIN Bulletin,487--509,{Optimal Reinsurance under VaR and CVaR risk measures: a simplified approach},41,2011,,,,2,,,,,,,0,mendeley
5829,Cheridito2009b,article,"Cheridito, Patrick and Stadje, Mitja",10.1016/j.frl.2008.10.002,Finance Research Letters,40--46,{Time-inconsistency of VaR and time-consistent alternatives},6,2009,,,,1,PMIR,,,,,,0,mendeley
5830,Toral2014,techreport,"Toral, R.",,,,{Large deviations theory: a basic tutorial},,2014,,,,,,,,,,,0,mendeley
5831,AdobeSystemsInc1988,book,{Adobe Systems Inc},,,,{Postscript Language Program Design},,1988,,,,February,,,,,,,0,mendeley
5832,Kallsen2002,article,"Kallsen, Jan and Shiryayev, A. N.",10.1007/s007800200069,Finance and Stochastics,397--428,{The cumulant process and Esscher's change of measure},6,2002,,http://www.springerlink.com/openurl.asp?genre=article&id=doi:10.1007/s007800200069,,4,Stochastic Processes,,,,,,0,mendeley
5833,Tymoigne2014,article,"Tymoigne, Eric",,Levy Economics Institute,,{Monetary Mechanics: A Financial View},,2014,,,,799,,,,,,,0,mendeley
5834,Dionne2017,article,"Dionne, Georges and Harrington, Scott E.",,,,{Insurance and Insurance Markets},,2017,,,,,,,,,,,0,mendeley
5835,ASPE2014,techreport,ASPE,,,,{Health Insurance Marketplace},,2014,,,,,,,,,,,0,mendeley
5836,Post2012,article,"Post, Thomas and Gründl, Helmut and Schmit, Joan T. and Zimma, Anja",,,1--47,{The Impact of Investment Behavior for Individual Welfare Thomas},,2012,,,,,,,,,,,0,mendeley
5837,Borwein1994,article,"Borwein, Jonathan M. and Noll, Dominikus",10.1090/S0002-9947-1994-1145959-4,Transactions of the American Mathematical Society,43--81,{Second order differentiability of convex functions in Banach spaces},342,1994,,,,1,,,,,,,0,mendeley
5838,Marsh&McLennan2016,article,{Marsh & McLennan},,,,{THE EMERGING RISKS QUANDARY},,2016,,,,,,,,,,,0,mendeley
5839,Poon2017,article,"Poon, Joseph and Buterin, Vitalik",,Whitepaper,1--47,{Plasma : Scalable Autonomous Smart Contracts Scalable Multi-Party Computation},,2017,,https://plasma.io/plasma.pdf%0Ahttps://plasma.io/%0Ahttps://plasma.io/plasma.pdf,,,,,,,,,0,mendeley
5840,InternationalMonetryFund2016a,article,{International Monetry Fund},,,,"{Global Financial Stability Report: The Insurance Sector, Trends and Sytemic Risk Implications}",,2016,,,,April,,,,,,,0,mendeley
5841,Bodoff2009b,incollection,"Bodoff, Neil M.",,,,{Capital allocation by percentile layer},,2009,,http://www.soa.org/library/monographs/other-monographs/2007/august/m-as07-1-03.pdf www.ermsymposium.org/Bodoff.pdf,,,"PART9,Risk Measures",2007 ERM Symposium,,,,,0,mendeley
5842,RYYYY,article,"Ri, Krro and Wr, Ohdyh and Ri, Krro and Hv, Qjho and Hgx, Dqghuvrq X. O. D. and Sdshu, K. L. V. and Dq, L. V. and Ri, Rxwjurzwk and Wr, D. P. Judwhixo and Ri, Rrgzdug and Zkr, Dslwdo and Wkh, Vxjjhvwhg and Ri, Lghd and Eldv, Wlrq and Yhqwxuh, Wlrq I. R. U. and Uhwxuqv, Dslwdo and Zkr, D. Q. G. and Pdgh, Dovr and Vxjjhvwlrqv, Rpphqwv D. Q. G. and Wkh, Nqrzohgjh and Ri, Rqwulexwlrq and Zkr, Orvvhu and Doo, Dvvhpeohg and Gdwd, W. K. H. and Lq, Xvhg and Sdshu, Wklv and Yhu, Hylvhg and Dw, Irxqg and Jvezzz, Kwws and Id, D. J. R. H. G. X. and Uhvhdu, Kudqh and Ylhzv, K. H. and Khuhlq, Suhvvhg and Wkrvh, D. U. H. and Wkh, R. I. and Dqg, Dxwkruv and Qh, Q. R. W. and Wkh, Wkrvh R. I. and Ri, Xuhdx and Uhvhuyhg, O. O. Uljkwv and Vh, Kruw and Wh, Wlrqv R. I. and Wr, Q. R. W. and Wzr, H. H. G. and Pd, Sdudjudskv and Zlwkrxw, E. H. Txrwhg and Shuplvvlrq, L. W. and Wkdw, Surylghg and Lq, Uhglw and Jlyhq, L. V. and Wkh, W. R.",,,,{The risk and return of venture capital},3,,,,,7851 2,,,,,,,0,mendeley
5843,Lange1966a,article,"Lange, Jeffrey T.",,Proceedings of the Casualty Actuarial Society,26--53,{General Liability Insurance Ratemaking},,1966,,https://www.insureon.com/small-business-insurance/general-liability/cost,,,,,,,,,0,mendeley
5844,Hou2017,article,"Hou, Kewei and Xue, Chen and Zhang, Lu and Anomalies, Replicating and Fisher, Kewei Hou",,,,{Replicating Anomalies},,2017,,http://www.nber.org/papers/w23394,,,,,,,,,0,mendeley
5845,Gzyl2008b,article,"Gzyl, Henryk and Mayoral, Silvia",10.1016/j.insmatheco.2008.08.008,Insurance: Mathematics and Economics,437--443,{Determination of risk pricing measures from market prices of risk},43,2008,Elsevier B.V.,http://dx.doi.org/10.1016/j.insmatheco.2008.08.008,,3,,,,,,,0,mendeley
5846,Economist2015,article,"Economist, Regional",,The Economist Intelligence Unit,1--13,{The disruption of Banking},,2015,,,,,,,,,,,0,mendeley
5847,Subcommittee2014,article,"Subcommittee, This and Sam, Uncle",,,1--5,{Opening Statement of Senator Carl Levin Senate Permanent Subcommittee on Investigations Hearing on Caterpillar ' s Offshore Tax Strategy},,2014,,,,,,,,,,,0,mendeley
5848,Review2014,article,"Review, Jri",10.1093/comnet/xxx000,,1--17,{Algorithms in Future Insurance Markets Journal:},,2014,,,,,Reviewed,,,,,,0,mendeley
5849,Barrdear2016,article,"Barrdear, John and Kumhof, Michael",,,,{The macroeconomics of central bank issued digital currencies},,2016,,www.bankofengland.co.uk/research/Pages/workingpapers/default.aspx,,,,,,,,,0,mendeley
5850,Rossum2014e,article,"Rossum, Guido Van",,,,{Python Tutorial},,2014,,,,,,,,,,,0,mendeley
5851,Pisarenko2008,article,"Pisarenko, V. F. and Sornette, a and Sornette, Didier and Rodkin, M. V.",10.1007/s00024-008-0341-9,Pure and Applied Geophysics,847--888,{New Approach to the Characterization of M max and of the Tail of the Distribution of Earthquake Magnitudes},165,2008,,http://www.springerlink.com/index/10.1007/s00024-008-0341-9,,5,,,,jun,,,0,mendeley
5852,AonBenfield2013f,techreport,{Aon Benfield},,,,"{Insurance-Linked Securities, 2013}",,2013,,,,,Aon,,,,,,0,mendeley
5853,Mango2012,article,"Mango, Donald F. and Major, John A. and Adler, Avraham and Bunick, Claude",,Casualty Actuarial Society Forum,,{Capital Tranching: A RAROC Approach to Assessing Reinsurance Cost Effectiveness},,2012,,http://www.actuaries.org.uk/sites/all/files/documents/pdf/capital-tranching-raroc-approach-assessing-reinsurance-cost-effectiveness.pdf,,September,Major,,,,,,0,mendeley
5854,Chen2024b,article,"Chen, Yuyu and Embrechts, Paul and Wang, Ruodu",,,1--35,{Risk exchange under infinite-mean Pareto models},,2024,,http://arxiv.org/abs/2403.20171,,,WangR,,,,,,0,mendeley
5855,Boik2002a,article,"Boik, Robert J.",10.1093/biomet/89.1.159,Biometrika,159--182,{Spectral models for covariance matrices},89,2002,,http://biomet.oupjournals.org/cgi/doi/10.1093/biomet/89.1.159,,1,,,,mar,,,0,mendeley
5856,Hadar1969,article,"Hadar, Josef and Russell, William",10.2307/1811090,American Economic Review,25--34,{Rules for Ordering Uncertain Prospects},59,1969,,,,1,,,,,,,0,mendeley
5857,Lin2019,article,"Lin, Xiao Joyce",,,,{Feeling is Believing? Evidence from Earthquake Shaking Experience and Insurance Demand},,2019,,,,,,,,,,,0,mendeley
5858,Kotlarski2019,article,"Kotlarski, Henryk",10.1007/978-3-030-28921-8_4,Trends in Logic,73--87,{Transfinite Induction},51,2019,,,,,,,,,,,0,mendeley
5859,Kamiya2021,article,"Kamiya, Shinichi and Kang, Jun Koo and Kim, Jungmin and Milidonis, Andreas and Stulz, René M.",10.1016/j.jfineco.2019.05.019,Journal of Financial Economics,719--749,"{Risk management, firm reputation, and the impact of successful cyberattacks on target firms}",139,2021,Elsevier B.V.,https://doi.org/10.1016/j.jfineco.2019.05.019,,3,,,,,,,0,mendeley
5860,Bailey1991a,article,"Bailey, David H. and Swarztrauber, Paul N.",10.1137/1033097,SIAM Review,389--404,{Fractional Fourier transform and applications},33,1991,,,,3,FFT,,,,,,449,mendeley
5861,Meyers2018b,book,"Meyers, Glenn G.",,,,{Stochastic Loss Reserving Using Bayesian MCMC Models},,2018,,,,1,Meyers,,Second,,,,0,mendeley
5862,Madigan1995,article,"Madigan, Kevin and Matheson, Alec",,Transactions of the American Mathematical Society,,{Compact Composition Operators on the Bloch Space},347,1995,,,,7,,,,,,,0,mendeley
5863,TheWorldBank2006,book,{The World Bank},,,,{Where is the Wealth of Nations? Measuring Capital for the 21st Century},,2006,,,,,Book,,,,,,0,mendeley
5864,HiriartUrruty2001,book,"Hiriart-Urruty, Jean-Baptiste and Lemaréchal, Claude",,,,{Fundamentals of Convex Analysis},,2001,Springer Verlag,,,,,,,,,,0,mendeley
5865,AonBenfield2016m,techreport,{Aon Benfield},,,,{Performance Evaluation},,2016,,,,,Aon,,,,,,0,mendeley
5866,Kokonendji1994b,article,"Kokonendji, C. C. and Seshadri, Vanamamalai",10.2307/3315588,Canadian Journal of Statistics,259--272,{The Lindsay transform of natural exponential families},22,1994,,,,2,,,,,,,0,mendeley
5867,Goldie1998,article,"Goldie, Charles M. and Klüppelberg, Claudia",10.1.1.28.1546,A Practical Guide to Heavy Tails: Statistical Techniques and Applications,435--459,{Subexponential Distributions},,1998,,,,,,,,,,,0,mendeley
5868,Gilboa2015,article,"Gilboa, Itzhak",10.1080/1350178X.2015.1071505,Journal of Economic Methodology,312--334,{Rationality and the Bayesian paradigm},22,2015,Routledge,http://dx.doi.org/10.1080/1350178X.2015.1071505,,3,,,,,,,0,mendeley
5869,England2019a,techreport,"England, Peter",,,,{IFRS 17 Risk Adjustments: Reserving or Capital Modelling?},,2019,,,Institute and Faculty of Actuaries,April,"Cmm,Ifrs",,,,,,0,mendeley
5870,Jakobsen2020,techreport,"Jakobsen, Mathilde and Prince, Timothy and Herman, Brad and {Mahesh Mistry}",,,,{Understanding Universal BCAR},,2020,,,A. M. Best,,CMM,,,,,,0,mendeley
5871,Diaconis1979,article,"Diaconis, Persi and Ylvisaker, Donald",10.1214/aos/1176344611,The Annals of Statistics,269--281,{Conjugate Priors for Exponential Families},7,1979,,,,2,,,,,,,0,mendeley
5872,Balog2017a,article,"Balog, Dóra",,,74--94,{Capital Allocation in the Insurance Sector},16,2017,,,,3,,,,,,,0,mendeley
5873,Kendall1963,article,"Kendall, David G.",10.1007/BF00532503,Zeitschrift für Wahrscheinlichkeitstheorie und Verwandte Gebiete,295--300,{Extreme-point methods in stochastic analysis},1,1963,,,,3,,,,,,,0,mendeley
5874,Nielsen2009,article,"Nielsen, Frank and Garcia, Vincent",,arXiv:0911.4863,1--28,{Statistical exponential families: A digest with flash cards},2011,2009,,http://arxiv.org/pdf/0911.4863v2.pdf%5Cnpapers2://publication/uuid/E0B331A4-165A-4B8B-A284-58143E443CAE%5Cnhttp://arxiv.org/abs/0911.4863,,,,,,,,,0,mendeley
5875,GarbarinYYYYa,article,"Garbarino, Ellen and Slonim, Robert and Sydnor, Justin",,,,{Digit Ratios (2D:4D) as Predictors of Risky Decision Making for both Sexes},,,,,,,,,,,,,0,mendeley
5876,Hansen2016a,article,"Hansen, Lars Peter and Marinacci, Massimo",10.1214/16-STS570,Statistical Science,511--515,{Ambiguity aversion and model misspecification: An economic perspective},31,2016,,,,4,Marinacci,,,,,,0,mendeley
5877,Feldblum2011,techreport,"Feldblum, S.",,,1--31,{Rating Agencies},,2011,,,,,CMM,,,,,,0,mendeley
5878,Carr2022a,article,"Carr, Peter P. and Cherubini, Umberto",10.3905/jod.2022.30.2.074,Journal of Derivatives,74--93,{Generalized Compounding and Growth Optimal Portfolios Reconciling Kelly and Samuelson},30,2022,,,,2,"Carr,Peters",,,,,,0,mendeley
5879,AonBenfield2014l,article,{Aon Benfield},,,,{Insurance-Linked Securities},,2014,,,,,Aon,,,,,,0,mendeley
5880,Kuznetsov2010a,article,"Kuznetsov, Alexey",10.1214/09-AAP673,Annals of Applied Probability,1801--1830,{Wiener-Hopf factorization and distribution of extrema for a family of Lévy processes},20,2010,,,,5,,,,,,,0,mendeley
5881,Bender2024,article,"Bender, Michael A. and Conway, Alex and Farach-Colton, Martín and Kuszmaul, William and Tagliavini, Guido",10.1137/1.9781611977554.ch21,ACM Transactions on Algorithms,,{Tiny Pointers},,2024,,,,,,,,,,,0,mendeley
5882,Of2010b,article,"Of, Row-wise Stacking and Runoff, T. H. E. and Space, State and For, Alternatives and Reserve, Ibnr",10.2143/AST.40.2.2061141,,917--946,"{IBNR, Kalman fi lter, mean square error, missing values, state space model. 1. I}",40,2010,,,,2,,,,,,,0,mendeley
5883,Niculescu2000,article,"Niculescu, Constantin P.",10.7153/mia-03-19,Mathematical Inequalities and Applications,155--167,{Convexity according to the geometric mean},3,2000,,,,2,PMIR,,,,,,0,mendeley
5884,Gentry2009,article,"Gentry, Craig",10.1145/1536414.1536440,PhD Thesis - Stanford,1--209,{A Fully Homomorphic Encryption Scheme},,2009,,papers2://publication/uuid/894E7CEA-E13A-4034-9EC1-317B0D47C79D,,September,,,,,,,4900,mendeley
5885,AonBenfield2010k,article,{Aon Benfield},,,,{Homeowners ROE Outlook 2010},,2010,,,,,Aon,,,,,,0,mendeley
5886,Grace2017,article,"Grace, Martin F. and Ping, Juliann",,,1--20,{Driverless technologies and their effects on insurers and the state: An initial assessment},,2017,,,,,,,,,,,0,mendeley
5887,Wang2008,inproceedings,"Wang, Liubin and Zhang, Ji-Hong",,,381--388,{Simpson's rule based FFT method to compute densities of stable distribution},,2008,,,,,PMIR,The Second International Symposium on Optimization and Systems Biology,,,"Lijang, China",,0,mendeley
5888,Hofmann2001,article,"Hofmann, Thomas",,Machine learning,177--196,{Unsupervised learning by probabilistic latent semantic analysis},,2001,,http://link.springer.com/article/10.1023/A:1007617005950,,,,,,,,,0,mendeley
5889,Venables2015,article,"Venables, W. N. and Smith, D. M.",10.1016/B978-0-12-381308-4.00001-7,,1--15,{An Introduction to R},0,2015,,,,x,Book,,,,,,0,mendeley
